_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,sentiment,sentiment:confidence,date,id,query,sentiment_gold,text
623495526,FALSE,finalized,3,12/12/14 21:38,5,1,Mon Dec 01 21:03:32 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3
623495527,TRUE,golden,17,,1,1,Mon Dec 01 21:09:50 +0000 2014,5.40E+17,#AAPL OR @Apple,1,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync
623495528,FALSE,finalized,6,12/12/14 15:50,3,0.4798,Mon Dec 01 21:29:45 +0000 2014,5.40E+17,#AAPL OR @Apple,,#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors
623495529,TRUE,golden,16,,1,0.9399,Mon Dec 01 21:35:14 +0000 2014,5.40E+17,#AAPL OR @Apple,1,WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK
623495530,FALSE,finalized,3,12/12/14 3:38,not_relevant,0.6904,Mon Dec 01 21:52:04 +0000 2014,5.40E+17,#AAPL OR @Apple,,"@Apple John Cantlie has been a prisoner of ISIS for 739 days, show you have not abandoned him. Sign https://t.co/WTn4fuiJ0P"
623495531,FALSE,finalized,3,12/12/14 4:59,3,0.6621,Mon Dec 01 21:53:12 +0000 2014,5.40E+17,#AAPL OR @Apple,,@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?
623495532,FALSE,finalized,3,12/12/14 20:59,3,1,Mon Dec 01 22:22:09 +0000 2014,5.40E+17,#AAPL OR @Apple,,Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3
623495533,FALSE,finalized,3,12/11/14 20:31,not_relevant,1,Mon Dec 01 23:03:01 +0000 2014,5.40E+17,#AAPL OR @Apple,,$AAPL dip only momentarily....just an aberration in the equity world..#AAPL
623495534,FALSE,finalized,4,12/12/14 8:36,3,0.7244,Mon Dec 01 23:12:40 +0000 2014,5.40E+17,#AAPL OR @Apple,,The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH
623495535,FALSE,finalized,3,12/12/14 14:08,3,0.6552,Mon Dec 01 23:43:14 +0000 2014,5.40E+17,#AAPL OR @Apple,,@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles
623495536,TRUE,golden,13,,1,1,Mon Dec 01 23:55:55 +0000 2014,5.40E+17,#AAPL OR @Apple,1,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc"
623495537,TRUE,golden,9,,1,0.8928,Tue Dec 02 00:06:05 +0000 2014,5.40E+17,#AAPL OR @Apple,1,i get the storage almost full notification literally every 5 minutes chill @apple
623495538,TRUE,golden,13,,1,0.8558,Tue Dec 02 00:14:25 +0000 2014,5.40E+17,#AAPL OR @Apple,1,I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n
623495539,TRUE,golden,14,,1,0.8701,Tue Dec 02 00:15:11 +0000 2014,5.40E+17,#AAPL OR @Apple,1,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle
623495540,FALSE,finalized,4,12/12/14 8:36,3,0.7244,Tue Dec 02 00:15:14 +0000 2014,5.40E+17,#AAPL OR @Apple,,Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495541,TRUE,golden,16,,5,0.5724,Tue Dec 02 00:15:16 +0000 2014,5.40E+17,#AAPL OR @Apple,"5
3",Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads
623495542,FALSE,finalized,3,12/12/14 8:42,3,1,Tue Dec 02 00:15:26 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495543,FALSE,finalized,4,12/12/14 18:31,3,0.7179,Tue Dec 02 00:16:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz
623495544,FALSE,finalized,3,12/12/14 2:33,3,1,Tue Dec 02 00:16:04 +0000 2014,5.40E+17,#AAPL OR @Apple,,@thehill @Apple i cite the 4th amendment as a retort
623495545,FALSE,finalized,3,12/12/14 0:01,3,0.6604,Tue Dec 02 00:16:27 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495546,FALSE,finalized,4,12/11/14 23:40,5,1,Tue Dec 02 00:17:02 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.
623495547,FALSE,finalized,3,12/12/14 9:10,3,0.6515,Tue Dec 02 00:18:59 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495548,FALSE,finalized,3,12/12/14 21:02,3,1,Tue Dec 02 00:22:26 +0000 2014,5.40E+17,#AAPL OR @Apple,,Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1
623495549,FALSE,finalized,6,12/11/14 9:47,3,1,Tue Dec 02 00:22:31 +0000 2014,5.40E+17,#AAPL OR @Apple,,Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL
623495550,TRUE,golden,9,,3,1,Tue Dec 02 00:23:47 +0000 2014,5.40E+17,#AAPL OR @Apple,3,"http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc"
623495551,FALSE,finalized,3,12/11/14 14:07,3,1,Tue Dec 02 00:24:26 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495552,FALSE,finalized,6,12/12/14 9:26,1,0.4673,Tue Dec 02 00:24:47 +0000 2014,5.40E+17,#AAPL OR @Apple,,That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL
623495553,FALSE,finalized,3,12/12/14 14:51,3,1,Tue Dec 02 00:25:38 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed
623495554,TRUE,golden,11,,1,0.7453,Tue Dec 02 00:27:23 +0000 2014,5.40E+17,#AAPL OR @Apple,1,Nigga update yall headphones @Apple
623495555,FALSE,finalized,3,12/12/14 3:33,3,1,Tue Dec 02 00:27:36 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495556,FALSE,finalized,3,12/11/14 22:17,1,0.665,Tue Dec 02 00:28:38 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495557,TRUE,golden,10,,1,1,Tue Dec 02 00:29:58 +0000 2014,5.40E+17,#AAPL OR @Apple,1,"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted."
623495558,FALSE,finalized,3,12/11/14 21:20,3,1,Tue Dec 02 00:31:26 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495559,FALSE,finalized,6,12/11/14 20:50,1,0.501,Tue Dec 02 00:32:42 +0000 2014,5.40E+17,#AAPL OR @Apple,,@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers
623495560,TRUE,golden,16,,1,1,Tue Dec 02 00:34:51 +0000 2014,5.40E+17,#AAPL OR @Apple,1,@apple U need to get ur fucking shit together and let me txt while on YouTube
623495561,FALSE,finalized,3,12/11/14 21:21,1,0.6672,Tue Dec 02 00:38:41 +0000 2014,5.40E+17,#AAPL OR @Apple,,@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure
623495562,FALSE,finalized,3,12/12/14 20:51,3,1,Tue Dec 02 00:39:47 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495563,FALSE,finalized,3,12/12/14 1:20,3,0.6868,Tue Dec 02 00:39:51 +0000 2014,5.40E+17,#AAPL OR @Apple,,@thehill @Apple Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.
623495564,FALSE,finalized,3,12/12/14 3:38,1,0.6656,Tue Dec 02 00:45:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb
623495565,FALSE,finalized,4,12/12/14 2:08,3,0.7408,Tue Dec 02 00:45:22 +0000 2014,5.40E+17,#AAPL OR @Apple,,This one chart explains @tim_cook's affect on @Apple. Paints an interesting story. What do you think? http://t.co/7cBY6jL5Pn
623495566,FALSE,finalized,3,12/12/14 2:28,3,1,Tue Dec 02 00:47:23 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495567,FALSE,finalized,3,12/12/14 21:02,3,1,Tue Dec 02 00:47:46 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495568,FALSE,finalized,4,12/12/14 22:25,3,0.732,Tue Dec 02 00:51:10 +0000 2014,5.40E+17,#AAPL OR @Apple,,"Final #AAPL #PutCallRatios for Monday, December 1, 2014 http://t.co/EVJC0tNGPJ"
623495569,FALSE,finalized,3,12/12/14 17:48,3,0.7177,Tue Dec 02 00:53:22 +0000 2014,5.40E+17,#AAPL OR @Apple,,#AAPL Launches Red #Apple Logo for World AIDS Day: Dec. 1 is World AIDS Day and the red Apple logo will be abl... http://t.co/crc6VpIELd
623495570,TRUE,golden,14,,1,1,Tue Dec 02 00:53:58 +0000 2014,5.40E+17,#AAPL OR @Apple,1,hey @apple fuck you
623495571,TRUE,golden,13,,3,0.6788,Tue Dec 02 00:54:31 +0000 2014,5.40E+17,#AAPL OR @Apple,,5 Companies Growing Faster Than Apple Inc. http://t.co/PgCG4CkJK9 #AAPL
623495572,FALSE,finalized,3,12/12/14 8:52,1,1,Tue Dec 02 00:56:11 +0000 2014,5.40E+17,#AAPL OR @Apple,,@apple why doesn't your people explain precautions when buying an expensive laptop
623495573,FALSE,finalized,3,12/11/14 20:59,3,1,Tue Dec 02 00:56:43 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495574,FALSE,finalized,3,12/12/14 11:16,3,0.6731,Tue Dec 02 00:59:49 +0000 2014,5.40E+17,#AAPL OR @Apple,,@Quailman_ @Apple u was bored huh
623495575,FALSE,finalized,3,12/11/14 20:54,3,1,Tue Dec 02 01:04:41 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @wagner_tim: @robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles
623495576,TRUE,golden,18,,1,1,Tue Dec 02 01:05:37 +0000 2014,5.40E+17,#AAPL OR @Apple,1,"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple"
623495577,FALSE,finalized,3,12/12/14 20:54,1,1,Tue Dec 02 01:06:42 +0000 2014,5.40E+17,#AAPL OR @Apple,,@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it
623495578,FALSE,finalized,3,12/11/14 22:10,3,0.7011,Tue Dec 02 01:06:58 +0000 2014,5.40E+17,#AAPL OR @Apple,,INSPI(RED) by @Apple and @tim_cook on #WorldAIDSDAY. 100% of #AppsforRED in @AppStore go to fight AIDs. Get @Farmville2 and @CSRRacing @RED
623495579,FALSE,finalized,4,12/12/14 2:39,3,0.7321,Tue Dec 02 01:07:53 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495580,FALSE,finalized,3,12/12/14 9:14,3,1,Tue Dec 02 01:09:53 +0000 2014,5.40E+17,#AAPL OR @Apple,,16GB @Apple #iPad Air 2 Retina WiFi Tablet $400 + Free Shipping via #EBAY http://t.co/TrkYuoYew7 #CyberMonday #firstworldproblems
623495581,TRUE,golden,16,,5,0.8214,Tue Dec 02 01:11:43 +0000 2014,5.40E+17,#AAPL OR @Apple,5,Photo: Love IOS 8 @apple @iphone #Love #IOS8 #NoCrop #iphone #young #phone #screen #capturescream #boy... http://t.co/fIDj9FxHDV
623495582,FALSE,finalized,3,12/12/14 9:16,1,1,Tue Dec 02 01:13:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,Why does @Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.
623495583,FALSE,finalized,3,12/12/14 13:02,1,0.6398,Tue Dec 02 01:15:12 +0000 2014,5.40E+17,#AAPL OR @Apple,,Then how the hell did I take this screenshot? @apple @timcook http://t.co/NvFWwi4JsM
623495584,FALSE,finalized,3,12/12/14 3:17,3,1,Tue Dec 02 01:17:55 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/WY4zI6XQtF
623495585,FALSE,finalized,3,12/12/14 1:13,3,0.6759,Tue Dec 02 01:22:40 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495586,FALSE,finalized,6,12/12/14 9:26,1,0.5327,Tue Dec 02 01:25:49 +0000 2014,5.40E+17,#AAPL OR @Apple,,Buy round lot on the open MT @WSJD #AAPL stock briefly dove 6.4% today. Analysts not sure why http://t.co/F6e73eJUJE http://t.co/2qQvMWOotv
623495587,FALSE,finalized,3,12/11/14 18:38,1,1,Tue Dec 02 01:36:18 +0000 2014,5.40E+17,#AAPL OR @Apple,,3G is draining my battery fix this @apple
623495588,FALSE,finalized,3,12/11/14 18:42,not_relevant,0.6527,Tue Dec 02 01:36:35 +0000 2014,5.40E+17,#AAPL OR @Apple,,My daughter's @Apple #iPod stolen. To the thief: try working as hard to earn one - like my daughter had to buy hers. #LosingFaithInPeople
623495589,FALSE,finalized,3,12/12/14 7:04,1,1,Tue Dec 02 01:40:38 +0000 2014,5.40E+17,#AAPL OR @Apple,,@apple your chargers suck ass! They just love to break!
623495590,FALSE,finalized,3,12/12/14 2:23,3,0.6783,Tue Dec 02 01:44:36 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495591,FALSE,finalized,3,12/12/14 19:56,3,1,Tue Dec 02 01:45:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,"#AAPL:My Three Horsemen Of The NASDAQ 100:  Apple, Microsoft And Gilead Scie...http://t.co/cDvoZfGSBX"
623495592,FALSE,finalized,3,12/12/14 0:00,3,0.6604,Tue Dec 02 01:47:52 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
623495593,FALSE,finalized,4,12/12/14 14:46,1,0.7556,Tue Dec 02 01:49:00 +0000 2014,5.40E+17,#AAPL OR @Apple,,I'm hoping @apple won't automatically make us download Bruce Springsteen and U2 singing together.  #u2 #bruce #espn #thatwasbad
623495594,FALSE,finalized,6,12/11/14 23:38,1,0.4791,Tue Dec 02 01:52:00 +0000 2014,5.40E+17,#AAPL OR @Apple,,@thehill @Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. #Ferguson IS NOT OVER!
623495595,FALSE,finalized,3,12/12/14 8:53,3,1,Tue Dec 02 01:52:18 +0000 2014,5.40E+17,#AAPL OR @Apple,,@aydlettgwyn13 @apple please educate us
623495596,FALSE,finalized,4,12/12/14 2:30,1,0.7591,Tue Dec 02 01:53:41 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @TinfoilTricorn: @thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure
623495597,FALSE,finalized,3,12/12/14 11:28,3,0.6676,Tue Dec 02 01:58:06 +0000 2014,5.40E+17,#AAPL OR @Apple,,The game #traders play in the name of #market #liquidity #HFT #darkpools #stock #trading #algorithms #AAPL  http://t.co/laKjpr89S8
623495598,FALSE,finalized,3,12/12/14 6:51,3,1,Tue Dec 02 02:00:04 +0000 2014,5.40E+17,#AAPL OR @Apple,,#AAPL:10 Steve Jobs emails you need to read...http://t.co/82G1kL94tx
623495599,FALSE,finalized,3,12/12/14 20:34,1,1,Tue Dec 02 02:00:59 +0000 2014,5.40E+17,#AAPL OR @Apple,,So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple
623495600,FALSE,finalized,3,12/12/14 16:23,1,0.7039,Tue Dec 02 02:03:46 +0000 2014,5.40E+17,#AAPL OR @Apple,,Thisn#Yosemite update is stressing me out @apple #macbookpro
623495601,FALSE,finalized,3,12/12/14 12:15,1,1,Tue Dec 02 02:04:40 +0000 2014,5.40E+17,#AAPL OR @Apple,,Just broke my 3rd charger of the month. Get your shit together @apple
623495602,FALSE,finalized,3,12/12/14 6:47,1,1,Tue Dec 02 02:09:56 +0000 2014,5.40E+17,#AAPL OR @Apple,,"This iPhone 6 battery isn't as good as you claim, @apple"
623495603,FALSE,finalized,3,12/12/14 2:50,1,1,Tue Dec 02 02:10:38 +0000 2014,5.40E+17,#AAPL OR @Apple,,#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..
623495604,FALSE,finalized,3,12/12/14 12:14,3,1,Tue Dec 02 02:14:37 +0000 2014,5.40E+17,#AAPL OR @Apple,,"#iPhone #users face big change over @Apple [#Apple]'s Google search choice. (#Monday, 1 #December) http://t.co/fA3KKjQQdA"
623495605,FALSE,finalized,3,12/11/14 22:06,3,0.6908,Tue Dec 02 02:14:56 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @chanchan1717: @aydlettgwyn13 @apple please educate us
623495606,FALSE,finalized,3,12/12/14 21:08,5,0.6517,Tue Dec 02 02:16:00 +0000 2014,5.40E+17,#AAPL OR @Apple,,"Just updated my ram to 16gb. @apple you guys are like shallow gf's. Take all the money, but dammit you look good."
623495607,FALSE,finalized,3,12/12/14 20:37,1,1,Tue Dec 02 02:16:19 +0000 2014,5.40E+17,#AAPL OR @Apple,,@apple @iphone4 oh it's not fair and i think you're really mean
623495608,FALSE,finalized,3,12/12/14 1:35,3,0.6794,Tue Dec 02 02:25:30 +0000 2014,5.40E+17,#AAPL OR @Apple,,#whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime
623495609,FALSE,finalized,3,12/11/14 20:55,3,1,Tue Dec 02 02:27:54 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT @JodiSpicer: #whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime
623495610,TRUE,golden,13,,5,0.7851,Tue Dec 02 02:38:28 +0000 2014,5.40E+17,#AAPL OR @Apple,5,IBM: @Apple iOS users account for 21.6% of ALL online sales. 3x @android users (6.6%). They are dominating. #business #sales #cybermonday
623495611,FALSE,finalized,3,12/12/14 11:19,1,1,Tue Dec 02 02:56:02 +0000 2014,5.40E+17,#AAPL OR @Apple,,I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple
623495612,TRUE,golden,11,,3,0.6218,Tue Dec 02 02:56:56 +0000 2014,5.40E+17,#AAPL OR @Apple,3,@gr8american23 i've made clear i support rand paul in 2016 in most cases. why is everyone pigeonholed as red or blue? also u like @apple?
623495613,FALSE,finalized,3,12/12/14 21:55,1,0.6884,Tue Dec 02 02:56:57 +0000 2014,5.40E+17,#AAPL OR @Apple,,@apple why was the iphone 4 ever created
623495614,FALSE,finalized,3,12/12/14 8:43,1,1,Tue Dec 02 03:00:07 +0000 2014,5.40E+17,#AAPL OR @Apple,,@apple I FUCKING HATE YOU http://t.co/xRxXK0rdot
623495615,FALSE,finalized,3,12/12/14 14:24,5,0.6573,Tue Dec 02 03:00:29 +0000 2014,5.40E+17,#AAPL OR @Apple,,@apple please can I have new phone for Christmas? #spreadsomejoy
623495616,FALSE,finalized,4,12/12/14 2:24,3,0.7279,Tue Dec 02 03:01:44 +0000 2014,5.40E+17,#AAPL OR @Apple,,Perfome @apple pie.. http://t.co/eHsgVdej9N
623495617,FALSE,finalized,3,12/11/14 23:31,3,0.6734,Tue Dec 02 03:05:07 +0000 2014,5.40E+17,#AAPL OR @Apple,,#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks
623495618,FALSE,finalized,3,12/11/14 14:28,3,0.6442,Tue Dec 02 03:05:32 +0000 2014,5.40E+17,#AAPL OR @Apple,,.@Apple rumoured to be launching a 'Mega Tab' because #biggerisbetter http://t.co/UreeAozPaI
623495619,FALSE,finalized,6,12/11/14 21:01,not_relevant,0.6697,Tue Dec 02 03:05:55 +0000 2014,5.40E+17,#AAPL OR @Apple,,RT  Chayton Falke ChaytonFalke :#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading...
623495620,FALSE,finalized,3,12/12/14 11:15,3,0.6635,Tue Dec 02 03:09:32 +0000 2014,5.40E+17,#AAPL OR @Apple,,"Apple Inc. PT Upped By Barclays, Morgan Stanley Trims Stake http://t.co/jgysEmQXBl #AAPL"
623495621,FALSE,finalized,3,12/12/14 22:00,1,1,Tue Dec 02 03:09:39 +0000 2014,5.40E+17,#AAPL OR @Apple,,IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE
623495622,TRUE,golden,11,,3,0.7287,Tue Dec 02 03:13:14 +0000 2014,5.40E+17,#AAPL OR @Apple,"3
not_relevant","RT @HamzeiAnalytics: New HA Blog Post &gt;&gt;&gt; Final #AAPL #PutCallRatios for Monday, December 1, 2014:  http://t.co/FO160NRHfF"
623495623,FALSE,finalized,3,12/12/14 8:54,3,0.7079,Tue Dec 02 03:15:03 +0000 2014,5.40E+17,#AAPL OR @Apple,,#AAPL:Jim Cramer's 4 Best Stock Picks for the Health Care Sector...http://t.co/CaQgzX0KiJ
623495624,FALSE,finalized,3,12/12/14 13:13,1,1,Tue Dec 02 03:28:00 +0000 2014,5.40E+17,#AAPL OR @Apple,,My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple
623495625,FALSE,finalized,3,12/11/14 14:56,3,1,Tue Dec 02 03:30:02 +0000 2014,5.40E+17,#AAPL OR @Apple,,"Steve Jobs, clave en juicio contra @Apple 

http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
623495626,FALSE,finalized,4,12/11/14 14:38,3,1,Tue Dec 02 03:31:46 +0000 2014,5.40E+17,#AAPL OR @Apple,,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 

http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
623495627,FALSE,finalized,3,12/11/14 20:08,3,1,Tue Dec 02 03:42:08 +0000 2014,5.40E+17,#AAPL OR @Apple,,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 

http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn"
623495628,FALSE,finalized,6,12/12/14 5:25,not_relevant,0.5409,Tue Dec 02 03:44:43 +0000 2014,5.40E+17,#AAPL OR @Apple,,"Myths vs. Reality in Full-Time #Trading http://t.co/JH7BMS1Kgb #stocks

#futures #forex #trader #es #nq #cl #aapl #gpro #finance #eSignal"
